,NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Year,Status
0,AL102,Alachua,tree,29.491,-82.181,Yes,Yes,Yes,1.0,1.0,0.0,2016,
1,BE027,Brevard,tree,28.045,-80.612,Yes,Yes,Yes,2.0,2.0,0.0,2016,
2,BE037,Brevard,tree,28.152,-80.69,Yes,Yes,Yes,2.0,2.0,0.0,2016,
3,BE056,Brevard,tree,28.26,-80.692,No,No,No,0.0,0.0,0.0,2016,
4,BO002,Broward,tree,26.007,-80.426,Yes,Yes,Yes,1.0,1.0,0.0,2016,
5,BO003,Broward,tree,26.307,-80.165,Yes,No,No,0.0,0.0,0.0,2016,
6,CH017,Charlotte,tree,26.925,-82.338,Yes,Yes,Yes,2.0,2.0,0.0,2016,
7,CL007,Clay,tree,30.128,-81.759,Yes,Yes,Yes,1.0,1.0,0.0,2016,
8,CL011,Clay,tree,30.141,-81.71,no,no,no,0.0,0.0,0.0,2016,
9,CL016,Clay,tree,30.104,-81.76,Yes,Yes,No,1.0,0.0,1.0,2016,
10,CL020,Clay,tree,30.067,-81.699,no,no,no,0.0,0.0,0.0,2016,
11,CL023,Clay,tree,29.843,-81.967,Yes,Yes,Yes,2.0,2.0,0.0,2016,
12,CL028,Clay,tree,30.023,-81.694,Yes,Yes,Yes,1.0,1.0,0.0,2016,
13,CL029,Clay,tree,30.132,-81.723,Yes,Yes,Yes,2.0,2.0,0.0,2016,
14,CL032,Clay,tree,30.141,-81.706,Yes,Yes,Yes,2.0,2.0,0.0,2016,
15,CO029,Collier,tree,25.954,-81.737,Yes,Yes,Yes,1.0,1.0,0.0,2016,
16,CO036,Collier,tree,26.289,-81.813,Yes,Yes,Yes,2.0,2.0,0.0,2016,
17,CO040,Collier,tree,26.115,-81.767,Yes,Yes,Yes,2.0,2.0,0.0,2016,
18,CO043,Collier,tree,26.2606669998588,-81.777666999983,Yes,Yes,Yes,1.0,1.0,0.0,2016,
19,CO056,Collier,tree,26.148341,-81.67956,Yes,Yes,Yes,2.0,2.0,0.0,2016,
20,DA003,Dade,tree,25.872275,-80.382611,Yes,Yes,Yes,2.0,2.0,0.0,2016,
21,DU006,Duval,tree,30.285333,-81.414833,Yes,No,No,0.0,0.0,0.0,2016,
22,DU010,Duval,tree,30.473,-81.505,Yes,Yes,No,2.0,0.0,2.0,2016,
23,DU012,Duval,tree,30.35,-81.416,Yes,Yes,Yes,2.0,2.0,0.0,2016,
24,DU013,Duval,tree,30.355,-81.476,Yes,Yes,Yes,2.0,2.0,0.0,2016,
25,DU014,Duval,tree,30.208,-81.628,Yes,Yes,Yes,2.0,2.0,0.0,2016,
26,DU018,Duval,tree,30.274,-81.414,Yes,Yes,Yes,2.0,2.0,0.0,2016,
27,DU020,Duval,tree,30.287,-81.659,Yes,Yes,Yes,2.0,2.0,0.0,2016,
28,DU027,Duval,tree,30.320105,-81.74785,Yes,Yes,Yes,2.0,1.0,1.0,2016,
29,DU023,Duval,tree,30.255,-81.565,Yes,Yes,Yes,2.0,2.0,0.0,2016,
30,DU025,Duval,tree,30.288764,-81.706799,Yes,Yes,Yes,1.0,1.0,0.0,2016,
31,DU026,Duval,artificial structure,30.32036,-81.45011,Yes,No,No,0.0,0.0,0.0,2016,
32,DU028,Duval,tree,30.383,-81.498,Yes,Yes,Yes,1.0,1.0,0.0,2016,
33,DU029,Duval,tree,30.354,-81.611,Yes,Yes,Yes,2.0,2.0,0.0,2016,
34,DU034,Duval,tree,30.172,-81.641,Yes,Yes,Yes,2.0,2.0,0.0,2016,
35,FL007,Flagler,tree,29.502,-81.15,Yes,Yes,Yes,2.0,2.0,0.0,2016,
36,FL013,Flagler,tree,29.561,-81.194,Yes,Yes,Yes,2.0,2.0,0.0,2016,
37,GU021,Gulf,tree,29.682,-85.335,Yes,Yes,Yes,1.0,1.0,0.0,2016,
38,HI048,Highlands,tree,27.56683,-81.50433,Yes,Yes,Yes,2.0,2.0,0.0,2016,
39,HL004,Hillsborough,tree,28.025833,-82.646833,Yes,No,No,0.0,0.0,0.0,2016,
40,HL006,Hillsborough,tree,27.880345,-82.366422,Yes,Yes,Yes,1.0,1.0,0.0,2016,
41,HL007,Hillsborough,tree,27.724667,-82.465167,Yes,Yes,Yes,1.0,1.0,0.0,2016,
42,HL008,Hillsborough,artificial structure,27.660186,-82.436858,Yes,No,No,0.0,0.0,0.0,2016,
43,HL017,Hillsborough,tree,27.898,-82.391167,No,No,No,0.0,0.0,0.0,2016,
44,HL019,Hillsborough,tree,27.752,-82.15,Yes,Yes,Yes,1.0,1.0,0.0,2016,
45,HL024,Hillsborough,tree,27.838,-82.495,Yes,Yes,Yes,1.0,1.0,0.0,2016,
46,HL029,Hillsborough,artificial structure,27.972,-82.223,Yes,Yes,Yes,2.0,2.0,0.0,2016,
47,HL038,Hillsborough,artificial structure,28.086,-82.357,Yes,Yes,Yes,2.0,1.0,1.0,2016,
48,HL042,Hillsborough,artificial structure,27.763,-82.411167,Yes,No,No,0.0,0.0,0.0,2016,
49,HL043,Hillsborough,tree,28.00466,-82.25383,No,No,No,0.0,0.0,0.0,2016,
50,HL044,Hillsborough,artificial structure,28.006,-82.585,No,No,No,0.0,0.0,0.0,2016,
