NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Status,Station,Distance
AL102,Alachua,tree,29.491,-82.181,1,1,1,1,1,0,,USW00012816,24.13446895
BE027,Brevard,tree,28.045,-80.612,1,1,1,2,2,0,,USW00012843,47.49431691
BE037,Brevard,tree,28.152,-80.69,1,1,1,2,2,0,,USW00012843,61.5196336
BE056,Brevard,tree,28.26,-80.692,0,0,0,0,0,0,,USW00012815,64.31861098
BO002,Broward,tree,26.007,-80.426,1,1,1,1,1,0,,USW00012882,17.91115639
BO003,Broward,tree,26.307,-80.165,1,0,0,0,0,0,,USW00092805,8.625589559
CH017,Charlotte,tree,26.925,-82.338,1,1,1,2,2,0,,USW00012871,57.30011904
CL007,Clay,tree,30.128,-81.759,1,1,1,1,1,0,,USW00093837,14.69488536
CL011,Clay,tree,30.141,-81.71,0,0,0,0,0,0,,USW00093837,11.07919543
CL016,Clay,tree,30.104,-81.76,1,1,0,1,0,1,,USW00093837,16.95018127
CL020,Clay,tree,30.067,-81.699,0,0,0,0,0,0,,USW00093837,18.75449777
CL023,Clay,tree,29.843,-81.967,1,1,1,2,2,0,,USW00012816,34.24578371
CL028,Clay,tree,30.023,-81.694,1,1,1,1,1,0,,USW00093837,23.53489396
CL029,Clay,tree,30.132,-81.723,1,1,1,2,2,0,,USW00093837,12.50081601
CL032,Clay,tree,30.141,-81.706,1,1,1,2,2,0,,USW00093837,10.94047756
CO029,Collier,tree,25.954,-81.737,1,1,1,1,1,0,,USC00085359,2.382729824
CO036,Collier,tree,26.289,-81.813,1,1,1,2,2,0,,USW00012897,15.37345802
CO040,Collier,tree,26.115,-81.767,1,1,1,2,2,0,,USW00012897,4.519233586
CO043,Collier,tree,26.260667,-81.777667,1,1,1,1,1,0,,USW00012897,11.75457821
CO056,Collier,tree,26.148341,-81.67956,1,1,1,2,2,0,,USW00012897,9.568560175
DA003,Dade,tree,25.872275,-80.382611,1,1,1,2,2,0,,USW00012882,10.83445643
