STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2016,8.7,W,3949,3949,W,99,W,61,W,0,W,1,W,0,W,312,W,125,W,31,"W,0124, ",5.37," ,W,1007, ",101,"W,0710,+",,,,,,,,,31,"W,0124",,,,,,,589,2,589,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340,W,330,W,53,W,68,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,8,435,W,,,,,,,,,,,,,,,,
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2018,8.3,W,3612,3612,W,141,W,88,W,0,W,6,W,0,W,296,W,107,W,27,"W,0118, ",1.8," ,W,1203, ",97,"W,0916,+",,,,,,,,,32,"W,0119",27,"W,0118",,,,,,,,,45.2," ,W",72.5,W,80.8,W,64.3,W,330,W,330,W,40.9,W,51,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2019,8.7,W,3888,3888,W,134,W,77,W,0,W,0,W,0,W,307,W,102,W,36,"W,0130, ",3.61," ,W,1007, ",101,"W,0527, ",,,,,,,,,,,,,,,,,692,7,692,W,39.78," ,W",74.1,W,82.3,W,65.9,W,320,W,250,W,42.9,W,53,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2020,8.9,W,3841,3841,W,146,W,94,W,0,W,1,W,0,W,312,W,100,W,31,"W,1226, ",3.37," ,W,0607, ",99,"W,0711, ",31,"W,1226",,,,,,,,,,,,,,,500,6,500,W,52.11," ,W",73.7,W,81.9,W,65.5,W,210,W,210,W,59.1,W,76.1,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2021,8.3,W,3159,3159,W,125,W,83,W,0,W,0,W,0,W,295,W,60,W,36,"W,0203,+",4.05," ,W,0814, ",97,"W,0505, ",,,,,,,,,,,,,,,,,881,4,881,W,56.32," ,W",71.5,W,79.6,W,63.4,W,330,W,110,W,40,W,51,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2022,8.7,W,3575,3575,W,126,W,75,W,0,W,4,W,0,W,302,W,97,W,26,"W,1224, ",2.64," ,W,1110, ",103,"W,0623, ",26,"W,1224",26,"W,1224",,,,,31,"W,0130",,,,,,,714,5,714,W,45.35," ,W",72.6,W,81,W,64.2,W,350,W,10,W,42.9,W,55,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2023,8.7,W,3808,3808,W,122,W,78,W,0,W,0,W,0,W,317,W,101,W,37,"W,1230,+",3.23," ,W,1217, ",102,"W,0811,+",,,,,,,,,,,,,,,,,544,2,544,W,51.56," ,W",74,W,82.5,W,65.6,W,350,W,280,W,44.1,W,62,W
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2016,7.2,W,2939,2939,W,91,W,62,W,0,W,5,W,0,W,293,W,74,W,28,"W,0124, ",3.47," ,W,0901, ",96,"W,0608, ",,,,,,,,,32,"W,0210",,,,,,,946,5,946,W,48.58," ,W",70.1,W,79.1,W,61.1,W,360,W,250,W,38,W,55,W
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2017,7.2,W,2880,2880,W,103,W,68,W,0,W,3,W,0,W,311,W,50,W,29,"W,0108, ",4.83," ,W,0620, ",95,"W,0818,+",30,"W,1211",,,,,,,31,"W,0109",,,,,,,704,0,704,W,46.52," ,W",70.8,W,79.6,W,62.1,W,20,W,,,36.9,W,,
