,NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Status,Year,Station,Distance,NAME,LATITUDE,LONGITUDE,ELEVATION,AWND,AWND_ATTRIBUTES,CDSD,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,Population,Unincorporated,Prop_Unincorporated,Incorporated,Prop_Incorporated
0,AL102,Alachua,Tree,29.491,-82.181,1,1,1,1.0,1.0,0.0,Successful,2016,USW00012816,24.13446895,"GAINESVILLE REGIONAL AIRPORT, FL US",29.6917,-82.27603,40.7,5.8,W,3047.0,3047.0,W,98.0,W,59.0,W,0.0,W,16.0,W,0.0,W,318.0,W,106.0,W,25.0,"W,0124,+",5.65," ,W,0606, ",98.0,"W,0731, ",32.0,"W,1120",,,,,,,32.0,"W,0228",27.0,"W,0125",,,,,877.0,0.0,877.0,W,42.07," ,W",70.5,W,82.4,W,58.7,W,320.0,W,310.0,W,36.9,W,53.9,W,257062.0,102298.0,0.3979506889388552,154764.0,0.6020493110611448
1,BE027,Brevard,Tree,28.045,-80.612,1,1,1,2.0,2.0,0.0,Successful,2016,USW00012843,47.49431691,"VERO BEACH INTERNATIONAL AIRPORT, FL US",27.6553,-80.41425,5.7,8.3,W,3801.0,3801.0,W,122.0,W,73.0,W,0.0,W,0.0,W,0.0,W,342.0,W,89.0,W,35.0,"W,0124, ",11.22," ,W,0517, ",96.0,"W,0807,+",,,,,,,,,,,,,,,,,298.0,8.0,298.0,W,65.33," ,W",74.4,W,83.0,W,65.9,W,310.0,W,280.0,W,55.0,W,74.0,W,568919.0,212740.0,0.37393723886880204,356179.0,0.626062761131198
2,BE037,Brevard,Tree,28.152,-80.69,1,1,1,2.0,2.0,0.0,Successful,2016,USW00012843,61.5196336,"VERO BEACH INTERNATIONAL AIRPORT, FL US",27.6553,-80.41425,5.7,8.3,W,3801.0,3801.0,W,122.0,W,73.0,W,0.0,W,0.0,W,0.0,W,342.0,W,89.0,W,35.0,"W,0124, ",11.22," ,W,0517, ",96.0,"W,0807,+",,,,,,,,,,,,,,,,,298.0,8.0,298.0,W,65.33," ,W",74.4,W,83.0,W,65.9,W,310.0,W,280.0,W,55.0,W,74.0,W,568919.0,212740.0,0.37393723886880204,356179.0,0.626062761131198
3,BE056,Brevard,Tree,28.26,-80.692,0,0,0,0.0,0.0,0.0,Unknown,2016,USW00012815,64.31861098,"ORLANDO INTERNATIONAL AIRPORT, FL US",28.41822,-81.32413,27.1,7.6,W,3783.0,3783.0,W,129.0,W,75.0,W,0.0,W,0.0,W,0.0,W,336.0,W,117.0,W,34.0,"W,0124, ",3.3," ,W,0324, ",98.0,"W,0708, ",,,,,,,,,,,,,,,,,386.0,4.0,386.0,W,54.33," ,W",74.1,W,84.0,W,64.3,W,150.0,W,110.0,W,47.0,W,63.1,W,568919.0,212740.0,0.37393723886880204,356179.0,0.626062761131198
4,BO002,Broward,Tree,26.007,-80.426,1,1,1,1.0,1.0,0.0,Successful,2016,USW00012882,17.91115639,"MIAMI OPA LOCKA AIRPORT, FL US",25.91017,-80.28283,1.3,8.5,W,4822.0,4822.0,W,139.0,W,91.0,W,0.0,W,0.0,W,0.0,W,351.0,W,116.0,W,46.0,"W,0208,+",1.79," ,W,0519, ",97.0,"W,0618, ",,,,,,,,,,,,,,,,,68.0,9.0,68.0,W,47.51," ,W",78.1,W,85.4,W,70.8,W,270.0,W,270.0,W,40.9,W,52.1,W,1854513.0,14759.0,0.007958423586138248,1839754.0,0.9920415764138617
5,BO003,Broward,Tree,26.307,-80.165,1,0,0,0.0,0.0,0.0,Unknown,2016,USW00092805,8.625589559,"POMPANO BEACH AIRPARK, FL US",26.24636,-80.11105,4.6,9.8,W,4646.0,4646.0,W,130.0,W,76.0,W,0.0,W,0.0,W,0.0,W,352.0,W,71.0,W,43.0,"W,0124, ",2.51," ,W,0518, ",94.0,"W,0618, ",,,,,,,,,,,,,,,,,106.0,9.0,106.0,W,45.5," ,W",77.5,W,83.6,W,71.3,W,230.0,W,220.0,W,45.0,W,59.1,W,1854513.0,14759.0,0.007958423586138248,1839754.0,0.9920415764138617
6,CH017,Charlotte,Tree,26.925,-82.338,1,1,1,2.0,2.0,0.0,Successful,2016,USW00012871,57.30011904,"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,5.3,8.1,W,4124.0,4124.0,W,99.0,W,68.0,W,0.0,W,0.0,W,0.0,W,337.0,W,124.0,W,34.0,"W,0125, ",7.76," ,W,0831, ",99.0,"W,0823, ",,,,,,,,,,,,,,,,,334.0,4.0,334.0,W,49.11," ,W",75.2,W,84.1,W,66.3,W,260.0,W,170.0,W,40.9,W,61.1,W,170450.0,152082.0,0.8922381930184805,18368.0,0.1077618069815195
7,CL007,Clay,Tree,30.128,-81.759,1,1,1,1.0,1.0,0.0,Successful,2016,USW00093837,14.69488536,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,205321.0,187142.0,0.9114605909770555,18179.0,0.08853940902294456
8,CL011,Clay,Tree,30.141,-81.71,0,0,0,0.0,0.0,0.0,Unknown,2016,USW00093837,11.07919543,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,205321.0,187142.0,0.9114605909770555,18179.0,0.08853940902294456
9,CL016,Clay,Tree,30.104,-81.76,1,1,0,1.0,0.0,1.0,Failed,2016,USW00093837,16.95018127,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,205321.0,187142.0,0.9114605909770555,18179.0,0.08853940902294456
10,CL020,Clay,Tree,30.067,-81.699,0,0,0,0.0,0.0,0.0,Unknown,2016,USW00093837,18.75449777,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,205321.0,187142.0,0.9114605909770555,18179.0,0.08853940902294456
11,CL023,Clay,Tree,29.843,-81.967,1,1,1,2.0,2.0,0.0,Successful,2016,USW00012816,34.24578371,"GAINESVILLE REGIONAL AIRPORT, FL US",29.6917,-82.27603,40.7,5.8,W,3047.0,3047.0,W,98.0,W,59.0,W,0.0,W,16.0,W,0.0,W,318.0,W,106.0,W,25.0,"W,0124,+",5.65," ,W,0606, ",98.0,"W,0731, ",32.0,"W,1120",,,,,,,32.0,"W,0228",27.0,"W,0125",,,,,877.0,0.0,877.0,W,42.07," ,W",70.5,W,82.4,W,58.7,W,320.0,W,310.0,W,36.9,W,53.9,W,205321.0,187142.0,0.9114605909770555,18179.0,0.08853940902294456
12,CL028,Clay,Tree,30.023,-81.694,1,1,1,1.0,1.0,0.0,Successful,2016,USW00093837,23.53489396,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,205321.0,187142.0,0.9114605909770555,18179.0,0.08853940902294456
13,CL029,Clay,Tree,30.132,-81.723,1,1,1,2.0,2.0,0.0,Successful,2016,USW00093837,12.50081601,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,205321.0,187142.0,0.9114605909770555,18179.0,0.08853940902294456
